Master Sku,Product Name,Mixability,T&F Title,T&F Text,T&F Image,T&F Enable Reviews (Y/N),Value For Money ,VfM Text,How It Works Main Ingredients,HIW's - #Active Ingredients,Benefit 1 - Title|Bullet1|Bullet2,Benefit 2 - Title|Bullet1|Bullet2,Benefit 3 - Title|Bullet1|Bullet2,HIW's Text,SE Title,SE Description,URL Slug,,,Category(s),Goal(s),Brand ,Title,Size
1001,Orange Oximega Fish Oil,,Did You Know?,Orange Oximega Fish oil Capsueles have no major side effects. However there is one thing that is worth mentioning which about half the people who take the product experiance -  Taking this Fish oil product can result in an increase in 'gassiness' which in turn can have athe slightly unplesent odour of fish oil. This effect is very minor and barely worth noticing except of course to be through as we proud ourselves as being here as Only Muscle ,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Did-You-Know-Banner.jpg,N,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.",Omega-3 Fatty Acids|EPA |DHA,3,"Improved Health| Used medically to treat heart disease and obesity| Omega 3 fatty acids help lubricate joints, preventing wear and soreness","Burn Fat | Omega-3 supplementation is clinically proven to help burn fat | Of the fat lost whilst taking Omega-3, most of it is belly fat","Appetite Control|Healthy fats help you feel fuller; less likely to snack between meals|You’ll naturally eat less and will more likely chose healthy food
","Controlled Labs Orange OxiMega Fish Oil is sourced solely from Nodic fish sources. This ensures it is free from any and all contaminants – including heavy metals. Furthermore, the vitamin E fortification acts as a type of natural preservative to protect the fish oil from any degradation or possible contamination. Controlled Labs Orange OxiMega Fish Oil is ideal for any training program and any level of fitness. At 60% DPA/EPA, Orange OxiMega is one of the most potent fish oils on the market. Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.",Controlled Labs Orange Oximega Fish Oil 30 / 120 caps ,Buy Controlled Labs Orange Oximega Fish Oil 30 / 120 caps from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Orange Oximega Fish Oil,,,,,Controlled Labs,Orange Oximega Fish Oil,30 / 120 caps
1002,White Flood Reborn,75,,"Controlled Labs White Flood Reborn is available in 4 energizing flavours:Furious Fruit Punch – “The taste is fantastic!”Juicy Watermelon – “watermelon flavour tastes amazing and it never fails to give me a skin tearing pump along with amazing energy” Electric Lemonade – “Electric lemonade tastes amazing!” White Pineapple – “the white pineapple tastes great, it reminds me of the juice that comes packed in the dole canned pineapples.”",,Y,75,"Controlled Labs is a US-based supplement company that produces only the highest-quality supplements. To maintain that quality, all products are manufactured in a FDA-certified cGMP (current Good Manufacturing Processes) facility.Controlled Labs sports supplements meet or exceed all safety and quality standards – including third party testing on individual supplements to ensure consumer safety. All ingredients are free from banned substances and drugs, including steroids, androgens and ephedra.Controlled Labs is a US-based supplement company that produces only the highest-quality supplements. To maintain that quality, all products are manufactured in a FDA-certified cGMP (current Good Manufacturing Processes) facility. Controlled Labs sports supplements meet or exceed all safety and quality standards – including third party testing on individual supplements to ensure consumer safety. All ingredients are free from banned substances and drugs, including steroids, androgens and ephedra.",Reborneuro Complex|Enduropump Complex|Potassium ,14,Energy Boost|Provides fast absorbing & fast acting energy with no crash | Improves overall workout performance,Boosts muscle growth | Increases blood flow to muscles for more energy and endurance | More blood flow allows for a better workout and post-workout pump,"Mental Boost| Improves mental focus, allowing for a more intense workout | Reduces mental fatigue, keeping your head in the game longer","The Reborneuro Complex in Controlled Labs White Flood Reborn contains ingredients aimed specifically at your mental endurance. While physical energy is obviously important in the gym, mental fatigue can wear you out faster than any cardio program. Compounds such as caffeine and glucuronolactone are clinically proven to boost mental focus.The Enduropump Complex contains a proprietary blend of scientifically proven compounds for the best workout and muscular pumps EVER: L-Carnitine is an amino acid naturally produced in the body for fat oxidation at the cellular level. Carnitine a so boosts the vascularity of your muscles to help get more oxidized blood through your system. Increased vascularity not only provides much-needed oxygen for energy production, but also gives you a lovely post-workout pump. By providing your cells with more fuel, your muscles will be able to work longer and harder before entering a catabolic state. Preventing muscle breakdown allows for your body’s hormonal receptors to bind with anabolic hormones, resulting in more muscle growth. Citrulline is a relatively new ingredient in the sports supplement game, but arguably the most exciting. Citrulline metabolizes into nitric oxide in your body. It dilates blood vessels, improving blood flow and energy levels. Nitric oxide reduces the amount of oxygen needed in muscle tissue during exercise. Less oxygen consumption translates into boosted power and endurance levels – so you can get the most out of your workout. Beta Alanine is essential to the production of carnosine, a key component of muscle tissue. Carnosine is used quickly during intense exercise, resulting in sore muscles from lactic acid build up as a result of muscle breakdown. Beta Alanine supplementation keeps carnosine levels elevated, ultimately resulting in less muscle breakdown during exercise and significantly improved muscle endurance. This is particularly important to anaerobic exercises like interval training and heavy weight training. Betaine anhydrous, found in beetroot juice, improved muscular force and endurance in athletes undergoing intense anaerobic exercise in several performance studies. Additionally, it is a powerful antioxidant. When Should You Take Controlled Labs White Flood Reborn?Combine 1 scoop of Controlled Labs White Flood Reborn with 240mL of cold water and consume 30 minutes pre-workout.",Controlled Labs White Flood Reborn 173g / 368g ,Buy Controlled Labs White Flood Reborn 173g / 368g from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/White Flood Reborn,,,,,Controlled Labs,White Flood Reborn,173g / 368g
1003,White Pump,75,,"Controlled Labs White Flood Reborn is available in 4 energizing flavours:Furious Fruit Punch – “The taste is fantastic!”Juicy Watermelon – “watermelon flavour tastes amazing and it never fails to give me a skin tearing pump along with amazing energy” Electric Lemonade – “Electric lemonade tastes amazing!” White Pineapple – “the white pineapple tastes great, it reminds me of the juice that comes packed in the dole canned pineapples.”",,Y,75,"Controlled Labs is a US-based supplement company that produces only the highest-quality supplements. To maintain that quality, all products are manufactured in a FDA-certified cGMP (current Good Manufacturing Processes) facility. Controlled Labs sports supplements meet or exceed all safety and quality standards – including third party testing on individual supplements to ensure consumer safety. All ingredients are free from banned substances and drugs, including steroids, androgens and ephedra.Controlled Labs is a US-based supplement company that produces only the highest-quality supplements. To maintain that quality, all products are manufactured in a FDA-certified cGMP (current Good Manufacturing Processes) facility. Controlled Labs sports supplements meet or exceed all safety and quality standards – including third party testing on individual supplements to ensure consumer safety. All ingredients are free from banned substances and drugs, including steroids, androgens and ephedra.",Betaine Anhydrous|Agmatine Sulfate|L-Norvaline,3,Increases Endurance|Boosts Exercise Endurance|Decreased Recovery Times,Support Lean Muscle Mass|For size that come with power,Stimulant Free,"Betaine anhydrous, found in beetroot, is a powerful antioxidant. In laboratory studies, betaine anhydrous significantly improved muscular force and endurance in athletes undergoing intense anaerobic exercise. Betaine is quickly becoming a “must-have” ingredient due to recent studies support of betaine’s positive effects of boosting muscle protein synthesis.
In other words: betaine helps your body get the blood and oxygen it needs to support impressive muscular gains and look good while doing so.

Agmatine Sulfate is a byproduct of argenine, a common amino acid. Your body uses agmatine in numerous biological processes throughout your body, including boosting neurotransmitter systems and the synthesis of nitric oxide (NO). Agmatine helps regulate your body’s insulin levels and helps your body recover faster from intense exercise.",Controlled Labs White Pump 158g ,Buy Controlled Labs White Pump 158g from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/White Pump,,,,,Controlled Labs,White Pump,158g
1004,White Blood 2,,Did You Know?,Orange Oximega Fish oil Capsueles have no major side effects. However there is one thing that is worth mentioning which about half the people who take the product experiance -  Taking this Fish oil product can result in an increase in 'gassiness' which in turn can have athe slightly unplesent odour of fish oil. This effect is very minor and barely worth noticing except of course to be through as we proud ourselves as being here as Only Muscle ,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Did-You-Know-Banner.jpg,N,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.",NOup Complex|PRObloodTECTION|Glycerol Monostearate,8,Boosts Exercise performance|Nitric Oxide boosters gives your muscles more oxygenated blood for energy|Increased blood flow results in more endurance for longer workouts,Decreases Recovery Times|The oxygen pulled into your muscles by NO kickstarts post-workout recovery|immune supporting ingredients help bring your immune system back to 100%,Anabolic Muscle Growth|NOup Complex supports muscle-building hormones and recovery|Glycerol Monostearate boosts nutrient flow into the muscles for an anabolic response,"he NOup Complex in Controlled Labs White Blood 2 is carefully formulated to support longer muscle “pumps”, dramatic vascularity, and support hormone levels for muscle growth. White Blood 2 PRObloodTECTION complex includes Allicin and Ashwagandha, which are potent anti-oxidants that work together to support the immune system, improve mood and focus, support optimal testosterone levels and reduce muscle soreness, cortisol, and Interleukin-6, clinically proven to boost workout intensity in test subjects. The powerful anti-oxidant Coenzyme Q10 supports improved cell function and enhance exercise capacity without the use of stimulants.White Blood 2 contains a hefty dose of Glycerol Monostearate (Glycerol esterified with stearic acid), a unique compound that draws more fluid and nutrients into our muscle tissue, increasing cell volume to help create a natural anabolic response – and a lovely pump. The effects of increased blood flow to muscle tissue from the NOup and PRObloodTECTION complexes directly correlate with muscle growth and overall protein synthesis.",Controlled Labs White Blood 2 90 caps ,Buy Controlled Labs White Blood 2 90 caps from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/White Blood 2,,,pre-workout,"build muscle, gain mass, recovery, improve workout, increase energy",Controlled Labs,White Blood 2,90 caps
1005,STIMino,75,,"Controlled Labs White Flood Reborn is available in 4 energizing flavours:Furious Fruit Punch – “The taste is fantastic!”Juicy Watermelon – “watermelon flavour tastes amazing and it never fails to give me a skin tearing pump along with amazing energy” Electric Lemonade – “Electric lemonade tastes amazing!” White Pineapple – “the white pineapple tastes great, it reminds me of the juice that comes packed in the dole canned pineapples.”",,Y,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.",Leucine|Betaine Anhydrous|Taurine,4,"boosts exercise performance|betaine is clinically proven to increase muscular force and endurance|taurine enhances mental forcus, preventing fatigue and improving muscle tissue function",decreases recovery times|Leucine stimulates muscle growth and recovery while you're exercising|taurine helps you build and maintain muscle tissue,Lean muscle growth|Leucine is the only amino acid with the ability to stimulate muscle growth|taurine ensures your muscles grow and fucntion the way they should,"Controlled Labs STIMino is likely the most simple and effective pre-workout available. It’s not packed with fillers or unnecessary ingredients to make it sound better on paper. Controlled Labs STIMino is made up of just 4 scientifically proven ingredients: Leucine, Betaine, Taurine, and Caffeine. Delivered to you at pharmaceutical-grade levels, Controlled Labs STIMino is the catalyst for any intense workout. You’ll experience sustained energy with no crash – ideal for tough strength training and endurance athletes. L-Leucine is the most important branched-chain amino acid when it comes to muscle recovery and growth. It is the only amino acid with the capacity to stimulate muscle protein synthesis. Betaine, found in beetroot, is a powerful antioxidant. In laboratory studies, betaine improved muscular force and endurance in athletes undergoing intense anaerobic exercise. Taurine, along with caffeine, is an ingredient commonly found in energy drinks to enhance mental focus. Taurine is a naturally occurring organic acid that is vital to the maintenance and function of all skeletal muscle tissue.",Controlled Labs STIMino 369g ,Buy Controlled Labs STIMino 369g from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/STIMino,,,pre-workout,"build muscle, gain mass, recovery, improve workout, increase energy",Controlled Labs,STIMino,369g
1006,Red Acid Reborn,,Did You Know?,Orange Oximega Fish oil Capsueles have no major side effects. However there is one thing that is worth mentioning which about half the people who take the product experiance -  Taking this Fish oil product can result in an increase in 'gassiness' which in turn can have athe slightly unplesent odour of fish oil. This effect is very minor and barely worth noticing except of course to be through as we proud ourselves as being here as Only Muscle ,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Did-You-Know-Banner.jpg,N,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.","Green Coffee, Caffeine, Syzygium Aromaticum Extract",5,Boost Metabolism|Green Coffee naturally boosts your metabolism whilst preserving muscle|Caffeine amplifies green coffee's effects and boosts mental function,"Lose Body Fat|Clove extract helps you utilize existing fat stores for energy|Indian Lotus extract regulates insulin levels, preventing fat storage",Increase Mental Clarity|Indian Lotus boosts your mood naturally with antidepressant properties|Green Coffee and caffeine boost cognitive function to keep you more engaged,"Syzygium Aromaticum Extract comes from clove trees and is a powerful antioxidant. As an essential oil, clove extract has been used in eastern medicine for centuries to improve digestive function. Recent scientific studies indicate Syzygium Aromaticum Extract may be a powerful tool in treating and preventing obesity as it promotes usage of existing fat stores and helps control insulin levels. Nelumbo Nucifera Extract comes from the Sacred Indian Lotus and is a common ingredient in eastern cooking. Like green tea, Indian Lotus promotes the production of noradrenaline levels. Extract from this powerful plant demonstrates anti-depressant properties as well as promote healthy insulin levels. Rauwolscine is isolated from yohimbe – a common weight loss additive. By isolating this specific alkaloid, scientific studies have shown positive effects on central nervous system function and increased sex drive (an unfortunate but common casualty of intense training programs).",Controlled Labs Red Acid Reborn 60 caps ,Buy Controlled Labs Red Acid Reborn 60 caps from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Red Acid Reborn,,,Fat burner,"lose fat, improve health, increase energy",Controlled Labs,Red Acid Reborn,60 caps
1007,Purple Wraath,75,,"Controlled Labs White Flood Reborn is available in 4 energizing flavours:Furious Fruit Punch – “The taste is fantastic!”Juicy Watermelon – “watermelon flavour tastes amazing and it never fails to give me a skin tearing pump along with amazing energy” Electric Lemonade – “Electric lemonade tastes amazing!” White Pineapple – “the white pineapple tastes great, it reminds me of the juice that comes packed in the dole canned pineapples.”",,Y,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.","PurplEAA Complex, PurplEndurance Complex, Potassium",11,Improve Athletic Performance |Cutting-edge citrulline malate powers your body like no other|betaine is clinically proven to increase muscular force and endurance,Recover Faster|This ideal amino acid profile kickstarts muscle recovery immediately|Citrulline helps bring your body out of a post-workout acidic environment,Increase exercise endurance|BCAAs boost blood-oxygen capacity for increased muscle endurance|NO booster Citrulline increases the flow of oxygenated blood to your muscles,"Controlled Labs Purple Wraath is the most complete amino acid formula available today. Considered the “holy grail” of bodybuilding supplements, Controlled Labs Purple Wraath will help maximize your lean muscle gains, boost fat loss, and help you push harder and longer in the gym whilst helping your muscles recover faster. Controlled Labs Purple Wraath contains all 9 Essential Amino Acids (EAA) and your body needs for muscle repair and growth. Designed as an intra-workout supplement, but also can be taken with any meal to encourage the most complete utilization of protein in a given meal. Combined with cutting edge ingredients such as citrulline malate, Controlled Labs Purple Wraath will increase your overall athletic performance, endurance, focus and stamina.","Controlled Labs Purple Wraath is the most complete amino acid formula available today. Considered the “holy grail” of bodybuilding supplements, Controlled Labs Purple Wraath will help maximize your lean muscle gains, boost fat loss, and help you push harder and longer in the gym whilst helping your muscles recover faster. Controlled Labs Purple Wraath contains all 9 Essential Amino Acids (EAA) and your body needs for muscle repair and growth. Designed as an intra-workout supplement, but also can be taken with any meal to encourage the most complete utilization of protein in a given meal. Combined with cutting edge ingredients such as citrulline malate, Controlled Labs Purple Wraath will increase your overall athletic performance, endurance, focus and stamina.",Buy Controlled Labs Purple Wraath 1.1kg from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Purple Wraath,,,"pre-workout, pre-workout, post workout","improve workout, build muscle, gain mass, recovery",Controlled Labs,Purple Wraath,1.1kg
1008,Orange TRIad,,Did You Know?,Orange Oximega Fish oil Capsueles have no major side effects. However there is one thing that is worth mentioning which about half the people who take the product experiance -  Taking this Fish oil product can result in an increase in 'gassiness' which in turn can have athe slightly unplesent odour of fish oil. This effect is very minor and barely worth noticing except of course to be through as we proud ourselves as being here as Only Muscle ,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Did-You-Know-Banner.jpg,N,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.","Joint Complex, Flex Complex, Digestion and Immune Complex",42,Improve Joint Health|Clincally proven ingredients help rebuild joints and reduce inflammation|Replenish your body's joint lubricant stores and prevent future damage,Healthy Digestive System|Potent plant-based digestive aids ensure your gut gets healthy and stays that way|Nutrient partitioning makes sure you absorb the vitamins and minerals you need,Boosts your immune system|Echinacea helps prevent sickness and shortens illness duration|Knotweed extract and digestive aids keep you healthy from the inside out,"Controlled Labs Orange TRIad addressed 3 of the most important but often forgotten aspects of an athlete’s overall heath: digestion, immune system support, and joint health. They can be added to any training and nutrition program, but are particularly beneficial to beginners and serious athletes. Orange TRIad offers complete multivitamin support, as well as joint, immune and digestion complexes for protection from overuse and illness. The Digestion and Immune Complex includes natural anti-inflammatories and digestive aids to keep your body functioning properly at all levels. Ginger root extract is commonly used to treat stomach discomfort, indigestion and bloating, as well as touting anti-inflammatory properties. Echinacea is recommended to both prevent and treat existing illness as a powerful immune booster. Knotweed root extract is a powerful herbal medicine used to treat everything from sore throat to skin disorders. Glucosamine is a naturally occurring chemical compound found in the human body. As we age, glucosamine levels drop significantly in our systems, contributing to the loss of natural cartilage and subsequent joint pain. Supplementation of glucosamine has been used for years to treat joint pain, stiffness and osteoporosis. While glucosamine supplementation will not prevent injury, it has been shown to aid in recovery of joint damage by encouraging the synthesis of connective tissues. Chondroitin, (similar to glucosamine) is also a naturally occurring substance that decreases as we age. Test subjects in studies on the effects of chondroitin supplementation suffered less joint pain and required fewer painkillers than the placebo groups. MSM (methylsulfonylmethane) is an important element of joint supplementation as it hinders the causes of joint pain and inflammation. MSM provides vital building blocks of not only joints and cartilage, but is also essential in the growth of skin, hair, nails, and supporting various biochemical bodily processes. Hyaluronic Acid is a less common but extremely effective joint supplement as it helps your body produce the synovial fluid needed to lubricate your joints (think oiling a squeaky wheel) and assists in the formation of the collagen your body uses in connective tissues.",Controlled Labs Orange TRIad 270 tabs ,Buy Controlled Labs Orange TRIad 270 tabs from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Orange TRIad,,,Health Supplement,"Improve health, joint support",Controlled Labs,Orange TRIad,270 tabs
1009,Green Bulge,,Did You Know?,Orange Oximega Fish oil Capsueles have no major side effects. However there is one thing that is worth mentioning which about half the people who take the product experiance -  Taking this Fish oil product can result in an increase in 'gassiness' which in turn can have athe slightly unplesent odour of fish oil. This effect is very minor and barely worth noticing except of course to be through as we proud ourselves as being here as Only Muscle ,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Did-You-Know-Banner.jpg,N,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.",Boost Workout Performance|Plant-based anti-inflammatories in HyperBulge for joint health/mobility|HyperBulge Complex feeds oxygen-rich blood to your muscles for better performance,9,Increase Workout Endurance|Two forms of creatine fuel your muscles for any kind of workout|B-vitamins provide you with steady energy without any crash,Lean Muscle Growth|HyperBulge Complex helps your muscles grow and recover at lightening speed|HyperCre keeps you working hard while your muscles build,Boosts Exercise Performance|HyperCre loads your muscle energy stores for true power and endurance|HyperBulge anti-infammatory properties preserve joints and help prevent damage,"Controlled Labs Green Bulge will benefit all athletic programs – aerobic and anaerobic training alike. B vitamins provide additional energy without a crash, and the components of the HyperCRE and HyperBulge Complexes boost your strength and stamina. B vitamins play a crucial role in cell metabolism, and as such are a common deficiency in athletes. B vitamin deficiency results in significant mental and physical fatigue. Supplementation with B6 encourages amino acid metabolism – particularly of neurotransmitters. B12 is heavily involved in the cellular metabolism of carbohydrates, proteins and fats – essential for energy production. The HyperCRE complex features a potent combination of patented Magnesium Creatine Chelate and 2CM (Dicreatine Malate), beneficial during both anaerobic and aerobic workouts and involved in the efficient production and utilization of ATP. Your body uses ATP (adenosine tri-phosphate) to deliver energy to cells for muscle contraction (and just about every other energy-involved process in your body). Creatine binds with the by-product of ATP usage, a substance called adenosine di-phosphate (ADP). In order to build more ATP to replenish your body’s energy stores, ADP uses the phosphate molecule bound to creatine to create more ATP. The curcumin in Green Bulge’s HyperBulge complex is sourced from turmeric. Clinical trials on the effects of curcumin demonstrate impressive anti-inflammatory properties, particularly with relation to joint health. It is powerful enough to be considered a common natural treatment for arthritis.",Controlled Labs Green Bulge 150 caps ,Buy Controlled Labs Green Bulge 150 caps from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Green Bulge,,,"Creatine, sports supplements","Improve workout, recovery, improve sports, build muscle",Controlled Labs,Green Bulge,150 caps
1010,Green MAGnitude,75,,"Controlled Labs White Flood Reborn is available in 4 energizing flavours:Furious Fruit Punch – “The taste is fantastic!”Juicy Watermelon – “watermelon flavour tastes amazing and it never fails to give me a skin tearing pump along with amazing energy” Electric Lemonade – “Electric lemonade tastes amazing!” White Pineapple – “the white pineapple tastes great, it reminds me of the juice that comes packed in the dole canned pineapples.”",,Y,75,"Fish oils contain two very beneficial and essential Omega 3 fatty acids: EPA and DHA. These fatty acids activate your body’s natural fat burning enzymes during exercise – encouraging usage of your existing energy stores (fat cells) before digging into your muscles for energy. Multiple scientific studies demonstrate the effectiveness of fish oil on diet and exercise programs: participants lose more weight, and more importantly: more body fat, with the addition of fish oil to their routine with no other changes. Additionally, EPA and DHA are linked to decreased hunger, increased overall metabolic rates, and reduced inflammation in users.","Green Creatine Matrix, Betaine Anhydrous, L-Taurine",5,Increase Workout Endurance|Two forms of creatine fuel your muscles for any kind of workout|Betaine boosts your endurance without an energy crash,Build Lean Muscle|Betaine boosts protien synthesis post-workout|Green Creatine Matrix fuels you while your muscles grow,Boosts Exercise Performance|HyperCre loads your muscle energy stores for true power and endurance|HyperBulge anti-infammatory properties preserve joints and help prevent damage,"Controlled Labs Green MAGnitude combines the potent effects of Magnesium Creatine Chelate (a patented form of creatine) with Dicreatine Malate (creatine bound with Malic Acid) to replenish your ATP stores so your muscles can work as hard as ever. Along with a precisely dosed amount of betaine, taurine and tyrosine for improved mental focus and positive vascular effects. Ingestion of creatine in conjunction with your workout replenishes energy stores and encourages muscular water retention – helping you achieve the muscular pump you love to see after a hard training session. Not only do fuller muscles look and feel better, but the added water retention will actually speed up your recovery time by helping keep you hydrated. Creatine is a blend of three different amino acids: arginine, methionine, and glycine. Your body produces creatine in very small amounts, and this small supply is easily expended during a tough workout. Your muscles utilise adenosine tri-phosphate (ATP) as a delivery system for energy to muscle cells to force a muscle contraction. The by-product of this process is adenosine di-phosphate, which stays rather useless in your system until it has a chance to bind with the phosphate molecule in creatine and reform into ATP. Unfortunately, your body doesn’t create creatine quickly or in large quantities, making creatine supplementation all but necessary serious athletes. Betaine anhydrous, found in beetroot, is a powerful antioxidant. In laboratory studies, betaine anhydrous significantly improved muscular force and endurance in athletes undergoing intense anaerobic exercise. Betaine is quickly becoming a “must-have” ingredient due to recent studies support of betaine’s positive effects of boosting muscle protein synthesis. In other words: betaine helps your body get the blood and oxygen it needs to support impressive muscular gains and look good while doing so. Taurine, along with caffeine, is an ingredient commonly found in energy drinks to enhance mental focus. Taurine is a naturally occurring organic acid that is vital to the maintenance and function of all skeletal muscle tissue.",Controlled Labs Green MAGnitude 832g ,Buy Controlled Labs Green MAGnitude 832g from us today - Best UK price | Free delivery | Real customer reviews - Only Muscle,/Controlled Labs/Green MAGnitude,,,"Creatine, sports supplements","Improve workout, recovery, improve sports, build muscle",Controlled Labs,Green MAGnitude,832g
