Master Sku,Product Name,Featured Y/N,Brand,Category(s),Main Ingredient(s),Goal(s),Supplier,Product Banner,Active Y/N
1001,Orange Oximega Fish Oil,N,CLS,HEA-C,VEG-I,IH-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_Orange_Oximega_FishOil_Banner.jpg,Y
1002,White Flood Reborn,N,CLS,PRE-C,CIY-I,IW-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhiteFloodReborn_Banner.jpg,Y
1003,White Pump,N,CLS,PRE-C,BETA-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhitePump_Banner.jpg,Y
1004,White Blood 2,N,CLS,PRE-C,GLYC-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_WhiteBlood2_Banner.jpg,Y
1005,STIMino,N,CLS,PRE-C,TAU-I| LLE-I,IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_STIMino_Banner.jpg,Y
1006,Red Acid Reborn,N,CLS,FAT-C,GRE-I| SYZ-I,LF-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_RedAcidReborn_Banner.jpg,Y
1007,Purple Wraath,N,CLS,POS-C,AMI-I,RE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_PurpleWraath_Banner.jpg,Y
1008,Orange TRIad,N,CLS,HEA-C,GLUC-I| MSM| OME-I,JS-G| IH-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_OrangeTriad_Banner.jpg,Y
1009,Green Bulge,N,CLS,PRE-C,CRE-I,IS-G| IW-G| IE-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_GreenBulge_Banner.jpg,Y
1010,Green MAGnitude,N,CLS,PRE-C,CRE-I,IW-G,BT|PB,https://onlymuscle.co.uk/wp-content/uploads/2015/09/Controlled-Labs_Green_Magnitude_Banner.jpg,Y
