Master Sku,Product Variation Name,Sub SKU,Size ,Flavour,RRP,Price,Servings,CS+,Stock,Weight (g),Width (cm),Length (cm),Depth (cm),Active,Product Image
1001,Orange Oximega Fish Oil,30-CP,30 caps,,12.99,9.31,15,Y,0,200,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/09/oximega-fish-oil.jpg
1001,Orange Oximega Fish Oil,120-CP,120 caps,,30.99,18.95,60,N,0,300,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/09/oximega-fish-oil.jpg
1002,White Flood Reborn,173-F,173g,Furious Fruit Punch,34.99,21.95,30,Y,0,300,11,13,9,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/Controlled-Labs-Orange-OxiMega.jpg
1002,White Flood Reborn,173-C,173g,Cherry,34.99,21.95,30,Y,0,300,11,13,9,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/Controlled-Labs-Orange-OxiMega.jpg
1002,White Flood Reborn,173-P,173g,Pinapple,34.99,21.95,30,Y,0,300,11,13,9,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/Controlled-Labs-Orange-OxiMega.jpg
1002,White Flood Reborn,368-F,368g,Furious Fruit Punch,57.99,31.95,60,Y,0,575,13,16,11,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/White-Flood-Reborn1.jpg
1002,White Flood Reborn,368-E,368g,Electric Lemonade,57.99,31.95,60,Y,0,575,13,16,11,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/White-Flood-Reborn1.jpg
1002,White Flood Reborn,368-J,368g,Juicy Watermelon,57.99,31.95,60,Y,0,575,13,16,11,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/05/White-Flood-Reborn1.jpg
1003,White Pump  ,158-P,158g,Pinapple ,39.99,20.95,30,Y,0,230,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-White-Pump-300x300.jpg
1004,White Blood 2,90-CP,90 caps,,34.99,18.95,30,N,0,200,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-White-Blood-2-300x300.jpg
1005,STIMino  ,369-F,369g,Furious Fruit Punch,49.99,39.99,60,N,0,369,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-STIMino-300x300.jpg
1006,Red Acid Reborn,60-CP,60 caps,,45.99,29.99,60,Y,0,200,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Red-Acid-Reborn-300x300.jpg
1007,Purple Wraath  ,11-G,1.1kg,Juicy Grape,84.99,46.68,45,N,0,1100,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Purple-Wraath-300x300.jpg
1007,Purple Wraath  ,11-L,1.1kg,Purple Lemonade,84.99,46.68,45,Y,0,1100,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Purple-Wraath-300x300.jpg
1008,Orange TRIad,270-TB,270 tabs,,44.99,24.75,45,N,0,600,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Orange-TRIad-300x300.jpg
1009,Green Bulge,150-CP,150 caps,,29.99,17.95,30,Y,0,400,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Green-Bulge-300x300.jpg
1010,Green MAGnitude  ,832-A,832g,Sour Green Apple,34.99,27.75,80,Y,0,975,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Green-MAGnitude-300x300.jpg
1010,Green MAGnitude  ,832-W,832g,Watermelon,34.99,27.75,80,Y,0,975,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Green-MAGnitude-300x300.jpg
1011,Gold Feast ,15-L,1.5kg,Lemon Drop,53.99,29.99,30,N,0,1700,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-Gold-Feast-300x300.jpg
1012,GlycerGrow 2 ,234-N,234g,Natural,26.99,25.95,60,N,0,330,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-GlycerGrow-300x300.jpg
1013,CREAmore,250-N,250g,Natural,14.99,14.99,50,N,0,350,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-CREAmore-300x300.jpg
1014,CLAmore,90-CP,90 caps,,19.99,19.99,90,N,0,200,,,,Y,https://onlymuscle.co.uk/wp-content/uploads/2015/04/Controlled-Labs-CLAmore-300x300.jpg
